short_name,age,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
K. Manolas,29,189,83,Greece,Napoli,Italian Serie A,83,84,24500000,84000,CB,Right,3,2,2,Low/High,Normal,No,43500000.0,#Tactician,RCB,44.0,,2019-07-02,2024.0,,,82.0,25.0,42.0,60.0,85.0,79.0,,,,,,,Dives Into Tackles (AI),27,25,80,60,16,54,30,10,61,65,80,83,67,81,60,40,86,69,81,12,86,86,25,22,26,83,,85,87,8,6,8,15,12,52+3,52+3,52+3,50+0,50+0,50+0,50+0,50+0,50+3,50+3,50+3,54+3,56+3,56+3,56+3,54+3,71+3,73+3,73+3,73+3,71+3,75+3,82+2,82+2,82+2,75+3
J. Matip,28,194,90,Cameroon,Liverpool,English Premier League,83,84,25500000,115000,CB,Right,2,2,2,Medium/Medium,Lean,Yes,49100000.0,"#Aerial Threat, #Tactician",SUB,32.0,,2016-07-01,2024.0,,,60.0,46.0,68.0,68.0,85.0,78.0,,,,,,,Injury Prone,54,36,84,77,50,69,63,22,74,72,51,67,51,84,42,66,75,69,80,48,84,86,48,72,42,79,,86,80,11,15,10,7,10,62+2,62+2,62+2,62+0,64+0,64+0,64+0,62+0,66+2,66+2,66+2,65+2,72+2,72+2,72+2,65+2,74+2,80+2,80+2,80+2,74+2,76+2,83+1,83+1,83+1,76+2
Juan Bernat,27,170,67,Spain,Paris Saint-Germain,French Ligue 1,83,84,25500000,95000,"LB, LM",Left,2,3,4,High/Medium,Normal,Yes,49100000.0,,RES,14.0,,2018-08-31,2021.0,,,81.0,64.0,79.0,83.0,76.0,67.0,,,,,,,Speed Dribbler (AI),85,65,57,82,61,83,78,51,73,83,82,81,85,83,88,64,74,79,57,62,75,79,78,77,53,78,,81,78,8,9,12,11,16,72+2,72+2,72+2,80+0,77+0,77+0,77+0,80+0,79+2,79+2,79+2,80+2,79+2,79+2,79+2,80+2,81+2,78+2,78+2,78+2,81+2,80+2,74+2,74+2,74+2,80+2
N. Fekir,26,173,75,France,Real Betis,Spain Primera Division,83,84,30500000,38000,"CAM, RM, ST",Left,3,4,4,High/Medium,Stocky,Yes,66300000.0,#Dribbler,RM,8.0,,2019-07-23,2023.0,SUB,18.0,79.0,82.0,81.0,87.0,38.0,79.0,,,,,,,"Power Free-Kick, Finesse Shot, Flair, Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",79,82,49,84,77,88,83,79,77,87,80,79,81,79,91,84,64,79,81,83,79,34,83,82,74,89,,42,30,15,9,8,14,15,79+3,79+3,79+3,83+0,83+0,83+0,83+0,83+0,83+1,83+1,83+1,83+1,78+3,78+3,78+3,83+1,64+3,63+3,63+3,63+3,64+3,59+3,53+3,53+3,53+3,59+3
Z. Ibrahimović,38,195,95,Sweden,Milan,Italian Serie A,83,83,9500000,49000,ST,Right,5,4,5,Medium/Low,PLAYER_BODY_TYPE_381,Yes,16200000.0,"#Poacher, #Aerial Threat, #Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",ST,11.0,,2020-01-02,2021.0,,,52.0,88.0,77.0,79.0,34.0,77.0,,,,,,,"Leadership, Flair, Long Shot Taker (AI), Outside Foot Shot",68,86,80,78,88,80,80,78,73,86,53,52,71,82,39,90,67,54,87,88,84,20,91,84,89,90,,37,24,13,15,10,9,12,82+1,82+1,82+1,78+0,81+0,81+0,81+0,78+0,81+2,81+2,81+2,76+3,75+3,75+3,75+3,76+3,53+3,58+3,58+3,58+3,53+3,50+3,52+3,52+3,52+3,50+3
João Moutinho,33,170,61,Portugal,Wolverhampton Wanderers,English Premier League,83,83,15000000,110000,CM,Right,3,4,3,High/High,Normal,Yes,28500000.0,#Playmaker,LCM,28.0,,2018-07-24,2022.0,SUB,8.0,56.0,75.0,86.0,83.0,72.0,66.0,,,,,,,"Long Passer (AI), Playmaker (AI), Outside Foot Shot",85,73,70,87,76,82,84,81,86,86,60,53,75,79,85,77,71,77,58,79,71,72,74,87,70,89,,74,68,13,15,15,13,13,74+3,74+3,74+3,78+0,78+0,78+0,78+0,78+0,81+2,81+2,81+2,79+3,82+1,82+1,82+1,79+3,76+3,78+3,78+3,78+3,76+3,74+3,71+3,71+3,71+3,74+3
S. Mandanda,35,185,82,France,Olympique de Marseille,French Ligue 1,83,83,7000000,28000,GK,Right,3,3,1,Medium/Medium,Normal,Yes,13300000.0,,GK,30.0,,2017-07-11,2024.0,SUB,16.0,,,,,,,81.0,81.0,78.0,84.0,48.0,81.0,"Leadership, Team Player",14,13,13,46,13,19,13,12,36,27,53,43,52,82,36,59,74,31,61,7,37,23,11,55,11,64,,15,13,81,81,78,81,84,32+3,32+3,32+3,32+0,34+0,34+0,34+0,32+0,36+3,36+3,36+3,34+3,36+3,36+3,36+3,34+3,30+3,34+3,34+3,34+3,30+3,29+3,29+3,29+3,29+3,29+3
G. Bale,30,185,82,Wales,Tottenham Hotspur,English Premier League,83,83,24500000,130000,RW,Left,4,3,4,Medium/Medium,PLAYER_BODY_TYPE_357,Yes,,"#Distance Shooter, #Crosser, #FK Specialist",SUB,9.0,Real Madrid,,2021.0,RM,11.0,88.0,84.0,82.0,80.0,58.0,73.0,,,,,,,"Long Throw-in, Injury Prone, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",87,81,84,80,85,80,90,87,79,83,86,89,78,79,65,90,82,69,77,87,65,59,83,79,76,85,,55,52,15,15,11,5,6,83+0,83+0,83+0,82+0,82+0,82+0,82+0,82+0,81+2,81+2,81+2,82+1,78+3,78+3,78+3,82+1,71+3,69+3,69+3,69+3,71+3,70+3,66+3,66+3,66+3,70+3
Marcelo,32,174,75,Brazil,Real Madrid,Spain Primera Division,83,83,16000000,170000,LB,Left,4,4,5,High/Low,PLAYER_BODY_TYPE_353,Yes,32800000.0,#Dribbler,SUB,12.0,,2007-01-01,2022.0,,,79.0,73.0,80.0,88.0,76.0,76.0,,,,,,,"Flair, Long Passer (AI), Outside Foot Shot, Team Player",84,73,73,81,63,89,84,67,77,91,81,78,83,82,85,81,76,74,76,70,80,80,81,78,59,82,,77,79,12,5,5,5,9,79+3,79+3,79+3,82+0,82+0,82+0,82+0,82+0,82+1,82+1,82+1,82+1,81+2,81+2,81+2,82+1,80+3,79+3,79+3,79+3,80+3,79+3,77+3,77+3,77+3,79+3
R. Nainggolan,32,176,65,Belgium,Inter,Italian Serie A,83,83,20000000,125000,"CAM, CM, CF",Right,3,3,3,High/High,PLAYER_BODY_TYPE_282,Yes,33000000.0,"#Engine, #Distance Shooter, #Tackling, #Tactician",RES,44.0,,2018-07-01,2022.0,,,71.0,80.0,80.0,83.0,83.0,81.0,,,,,,,"Long Shot Taker (AI), Outside Foot Shot",73,75,59,85,75,83,73,68,82,84,71,71,75,85,83,86,74,89,75,89,88,86,84,80,63,84,,86,90,11,11,14,8,11,78+3,78+3,78+3,80+0,81+0,81+0,81+0,80+0,82+1,82+1,82+1,81+2,84+,84+,84+,81+2,83+0,85+,85+,85+,83+0,82+1,81+2,81+2,81+2,82+1
E. Džeko,34,193,80,Bosnia Herzegovina,Roma,Italian Serie A,83,83,13500000,81000,ST,Right,3,5,2,Medium/Medium,Lean,Yes,23000000.0,#Poacher,ST,9.0,,2015-07-01,2022.0,,,59.0,84.0,71.0,75.0,46.0,73.0,,,,,,,Finesse Shot,63,88,83,77,77,76,65,54,72,85,61,58,56,83,36,86,64,70,81,79,58,50,89,75,67,83,,28,16,9,11,13,15,15,82+1,82+1,82+1,76+0,80+0,80+0,80+0,76+0,78+3,78+3,78+3,76+3,74+3,74+3,74+3,76+3,59+3,62+3,62+3,62+3,59+3,56+3,56+3,56+3,56+3,56+3
A. Vidal,33,180,75,Chile,Inter,Italian Serie A,83,83,15000000,125000,"CM, CDM, CAM",Right,4,4,3,High/High,PLAYER_BODY_TYPE_267,Yes,24800000.0,#Engine,SUB,22.0,,2020-09-22,2022.0,LCM,8.0,65.0,79.0,79.0,78.0,83.0,86.0,,,,,,,"Dives Into Tackles (AI), Power Header",76,75,81,81,78,76,76,68,80,82,66,65,73,85,77,84,82,86,83,81,93,84,82,81,81,80,,86,83,4,2,4,2,4,79+3,79+3,79+3,77+0,79+0,79+0,79+0,77+0,79+3,79+3,79+3,78+3,82+1,82+1,82+1,78+3,80+3,83+0,83+0,83+0,80+3,81+2,83+0,83+0,83+0,81+2
Yuri Berchiche,30,181,80,Spain,Athletic Club de Bilbao,Spain Primera Division,83,83,20500000,35000,LB,Left,2,3,3,High/Medium,Normal,Yes,43100000.0,,SUB,17.0,,2018-07-02,2022.0,,,83.0,68.0,76.0,76.0,80.0,83.0,,,,,,,"Solid Player, Dives Into Tackles (AI), Speed Dribbler (AI)",82,61,75,82,59,72,80,55,72,80,82,84,77,80,80,80,85,86,80,76,85,82,62,66,59,78,,80,77,12,13,9,8,11,73+2,73+2,73+2,75+0,74+0,74+0,74+0,75+0,74+2,74+2,74+2,76+2,76+2,76+2,76+2,76+2,81+2,80+2,80+2,80+2,81+2,81+2,80+2,80+2,80+2,81+2
Fernando,32,183,76,Brazil,Sevilla FC,Spain Primera Division,83,83,17000000,39000,"CDM, CM",Right,2,3,3,Medium/Medium,Lean,Yes,35700000.0,,CDM,25.0,,2019-07-12,2022.0,,,66.0,62.0,74.0,73.0,82.0,82.0,,,,,,,Dives Into Tackles (AI),62,54,74,83,56,71,65,53,78,78,66,66,70,81,62,76,76,82,81,68,85,85,59,74,54,78,,83,81,7,5,9,3,5,69+2,69+2,69+2,70+0,71+0,71+0,71+0,70+0,73+2,73+2,73+2,72+2,77+2,77+2,77+2,72+2,78+2,82+1,82+1,82+1,78+2,78+2,81+2,81+2,81+2,78+2
K. Trippier,29,173,71,England,Atlético Madrid,Spain Primera Division,83,83,21500000,71000,RB,Right,2,4,3,High/Medium,Normal,Yes,44100000.0,#Crosser,RB,23.0,,2019-07-17,2022.0,SUB,23.0,73.0,60.0,81.0,77.0,79.0,72.0,,,,,,,"Long Throw-in, Solid Player, Early Crosser",86,48,74,80,58,74,86,82,79,83,74,72,73,81,77,75,76,88,64,70,70,79,73,80,66,77,,83,81,11,14,8,11,10,70+2,70+2,70+2,75+0,74+0,74+0,74+0,75+0,76+2,76+2,76+2,77+2,79+2,79+2,79+2,77+2,81+2,80+2,80+2,80+2,81+2,80+2,77+2,77+2,77+2,80+2
I. Gündoğan,29,180,80,Germany,Manchester City,English Premier League,83,83,25000000,160000,"CM, CDM",Right,3,4,4,High/Medium,Normal,Yes,46300000.0,#Playmaker,SUB,8.0,,2016-07-01,2023.0,SUB,21.0,66.0,74.0,84.0,84.0,72.0,71.0,,,,,,,"Injury Prone, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",78,71,50,88,75,84,85,74,85,88,66,66,77,85,77,77,61,69,73,74,70,77,78,86,80,87,,74,67,11,14,5,5,13,75+3,75+3,75+3,80+0,80+0,80+0,80+0,80+0,82+1,82+1,82+1,80+3,83+0,83+0,83+0,80+3,77+3,79+3,79+3,79+3,77+3,74+3,72+3,72+3,72+3,74+3
K. Trapp,29,189,88,Germany,Eintracht Frankfurt,German 1. Bundesliga,83,83,18500000,35000,GK,Right,2,4,1,Medium/Medium,Normal,Yes,31500000.0,,GK,1.0,,2019-08-07,2024.0,,,,,,,,,82.0,78.0,79.0,85.0,49.0,83.0,"Leadership, Rushes Out Of Goal, Comes For Crosses",13,13,11,25,12,10,14,12,12,24,45,52,42,82,37,59,75,45,73,13,30,22,12,46,17,62,,14,10,82,78,79,83,85,30+2,30+2,30+2,27+0,30+0,30+0,30+0,27+0,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2
Coutinho,28,172,68,Brazil,FC Barcelona,Spain Primera Division,83,83,26000000,190000,"CAM, LW, CM",Right,4,4,5,Medium/Medium,Lean,Yes,53300000.0,"#Dribbler, #FK Specialist, #Acrobat",SUB,17.0,,2018-01-06,2023.0,,,72.0,79.0,82.0,89.0,52.0,59.0,,,,,,,"Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",79,76,48,82,78,89,90,86,78,89,77,68,91,82,93,82,58,74,51,86,59,49,81,83,70,77,,54,47,12,7,9,14,6,76+3,76+3,76+3,82+0,82+0,82+0,82+0,82+0,83+0,83+0,83+0,82+1,80+3,80+3,80+3,82+1,69+3,67+3,67+3,67+3,69+3,65+3,57+3,57+3,57+3,65+3
Muniain,27,170,66,Spain,Athletic Club de Bilbao,Spain Primera Division,83,83,27000000,41000,"LW, CAM, RW",Right,2,3,4,Medium/Low,Normal,Yes,56700000.0,"#Dribbler, #Acrobat",CAM,10.0,,2009-08-01,2024.0,,,81.0,75.0,80.0,87.0,51.0,60.0,,,,,,,"Finesse Shot, Flair, Outside Foot Shot, Team Player, Technical Dribbler (AI)",79,79,43,84,68,87,82,69,70,86,83,79,92,80,95,70,72,74,49,77,66,45,80,83,61,82,,55,38,10,5,5,13,12,75+2,75+2,75+2,83+0,81+0,81+0,81+0,83+0,83+0,83+0,83+0,82+1,78+2,78+2,78+2,82+1,68+2,66+2,66+2,66+2,68+2,64+2,56+2,56+2,56+2,64+2
L. Hrádecký,30,192,82,Finland,Bayer 04 Leverkusen,German 1. Bundesliga,83,83,17500000,63000,GK,Right,2,3,1,Medium/Medium,Lean,Yes,29800000.0,,GK,1.0,,2018-07-01,2023.0,GK,1.0,,,,,,,85.0,78.0,69.0,87.0,41.0,83.0,"GK Long Throw, Comes For Crosses",11,11,11,30,9,10,11,15,33,20,38,44,43,82,39,52,69,34,55,14,31,18,9,53,20,48,,10,13,85,78,69,83,87,27+2,27+2,27+2,26+0,29+0,29+0,29+0,26+0,30+2,30+2,30+2,28+2,31+2,31+2,31+2,28+2,26+2,28+2,28+2,28+2,26+2,25+2,25+2,25+2,25+2,25+2
A. Lacazette,29,176,77,France,Arsenal,English Premier League,83,83,26000000,125000,ST,Right,3,4,4,High/High,PLAYER_BODY_TYPE_254,Yes,49400000.0,,ST,9.0,,2017-07-05,2022.0,,,76.0,82.0,75.0,84.0,46.0,75.0,,,,,,,"Flair, Outside Foot Shot, Technical Dribbler (AI)",68,83,75,79,79,84,74,74,70,85,77,75,81,84,82,87,76,77,75,78,74,42,84,78,76,81,,51,32,11,6,9,5,6,82+1,82+1,82+1,80+0,82+0,82+0,82+0,80+0,81+2,81+2,81+2,79+3,76+3,76+3,76+3,79+3,64+3,64+3,64+3,64+3,64+3,61+3,58+3,58+3,58+3,61+3
Aitor,29,182,78,Spain,Levante UD,Spain Primera Division,83,83,18500000,31000,GK,Right,1,2,1,Medium/Medium,Normal,No,38900000.0,,GK,13.0,,2018-07-23,2023.0,,,,,,,,,84.0,78.0,74.0,86.0,55.0,81.0,,30,12,20,38,15,22,34,14,35,14,58,53,70,83,48,56,82,42,48,12,15,24,15,48,24,55,,13,12,84,78,74,81,86,31+2,31+2,31+2,33+0,32+0,32+0,32+0,33+0,34+2,34+2,34+2,34+2,33+2,33+2,33+2,34+2,32+2,30+2,30+2,30+2,32+2,31+2,26+2,26+2,26+2,31+2
W. Zaha,27,180,66,Ivory Coast,Crystal Palace,English Premier League,83,83,27000000,82000,"LM, CF",Right,2,3,5,Medium/Medium,PLAYER_BODY_TYPE_284,Yes,51300000.0,"#Speedster, #Dribbler",LS,11.0,,2015-02-02,2023.0,RW,9.0,90.0,75.0,72.0,87.0,34.0,75.0,,,,,,,"Flair, Technical Dribbler (AI)",76,77,47,75,64,90,63,51,65,86,88,92,87,75,79,81,58,75,77,70,72,32,76,76,72,80,,34,32,15,10,15,11,10,77+2,77+2,77+2,81+0,80+0,80+0,80+0,81+0,80+2,80+2,80+2,80+2,72+2,72+2,72+2,80+2,62+2,58+2,58+2,58+2,62+2,57+2,49+2,49+2,49+2,57+2
C. Aránguiz,31,171,70,Chile,Bayer 04 Leverkusen,German 1. Bundesliga,83,83,19500000,78000,"CDM, CM",Right,2,4,3,Medium/Medium,Lean,Yes,33200000.0,,RDM,20.0,,2015-08-13,2023.0,RCM,20.0,60.0,72.0,82.0,81.0,78.0,73.0,,,,,,,"Dives Into Tackles (AI), Playmaker (AI), Outside Foot Shot",78,66,53,85,68,79,75,76,84,83,71,51,79,87,86,78,61,85,64,77,81,85,75,81,76,81,,74,72,15,7,12,8,13,72+2,72+2,72+2,77+0,77+0,77+0,77+0,77+0,79+2,79+2,79+2,78+2,82+1,82+1,82+1,78+2,79+2,82+1,82+1,82+1,79+2,77+2,75+2,75+2,75+2,77+2
Sergi Roberto,28,178,68,Spain,FC Barcelona,Spain Primera Division,83,83,22000000,175000,"RB, CM",Right,3,3,4,High/Medium,Lean,Yes,45100000.0,,SUB,20.0,,2013-07-01,2022.0,,,77.0,63.0,81.0,78.0,77.0,73.0,,,,,,,,83,63,72,84,50,78,78,60,78,82,75,79,69,80,74,65,43,92,69,66,68,79,69,83,57,76,,79,78,14,16,11,15,10,72+3,72+3,72+3,77+0,76+0,76+0,76+0,77+0,78+3,78+3,78+3,79+3,80+3,80+3,80+3,79+3,81+2,80+3,80+3,80+3,81+2,80+3,75+3,75+3,75+3,80+3
F. Acerbi,32,192,88,Italy,Lazio,Italian Serie A,83,83,16500000,75000,CB,Left,2,3,3,Medium/High,Normal,No,28100000.0,"#Tackling, #Tactician, #Strength, #Complete Defender",CB,33.0,,2018-07-11,2023.0,SUB,15.0,62.0,50.0,62.0,63.0,86.0,83.0,,,,,,,"Long Passer (AI), Power Header",25,37,82,75,39,65,62,56,79,72,66,59,32,85,35,75,67,83,86,60,77,86,20,65,72,85,,87,85,11,9,9,13,11,60+2,60+2,60+2,56+0,60+0,60+0,60+0,56+0,62+2,62+2,62+2,60+2,71+2,71+2,71+2,60+2,73+2,81+2,81+2,81+2,73+2,75+2,83+0,83+0,83+0,75+2
Allan,29,175,74,Brazil,Everton,English Premier League,83,83,25000000,115000,CM,Right,2,3,4,Medium/High,Normal,No,47500000.0,"#Tackling, #Tactician",CDM,6.0,,2020-09-05,2023.0,,,73.0,71.0,77.0,82.0,85.0,83.0,,,,,,,Leadership,70,74,59,84,56,82,65,49,79,83,77,69,78,88,86,73,67,92,78,69,90,88,79,80,53,85,,88,86,13,13,5,5,8,76+2,76+2,76+2,79+0,79+0,79+0,79+0,79+0,80+2,80+2,80+2,80+2,83+0,83+0,83+0,80+2,83+0,85+,85+,85+,83+0,83+0,82+1,82+1,82+1,83+0
Lucas Moura,27,174,70,Brazil,Tottenham Hotspur,English Premier League,83,83,27000000,120000,"RM, CF",Right,3,4,4,High/Medium,PLAYER_BODY_TYPE_363,Yes,51300000.0,"#Speedster, #Dribbler, #Acrobat",RM,27.0,,2018-01-31,2024.0,,,92.0,78.0,72.0,87.0,43.0,67.0,,,,,,,"Flair, Speed Dribbler (AI)",73,79,62,74,72,88,71,70,70,85,95,89,93,81,92,80,92,75,58,76,72,50,80,70,74,82,,43,44,9,10,14,7,14,79+3,79+3,79+3,82+0,81+0,81+0,81+0,82+0,80+3,80+3,80+3,81+2,74+3,74+3,74+3,81+2,66+3,62+3,62+3,62+3,66+3,63+3,55+3,55+3,55+3,63+3
T. Hazard,27,175,71,Belgium,Borussia Dortmund,German 1. Bundesliga,83,83,27000000,78000,"LM, RM, CF",Right,2,4,4,High/High,Lean,Yes,45900000.0,"#Dribbler, #Acrobat",SUB,10.0,,2019-07-01,2024.0,LM,16.0,84.0,77.0,81.0,86.0,52.0,67.0,,,,,,,"Flair, Long Passer (AI), Long Shot Taker (AI), Technical Dribbler (AI)",81,76,39,82,80,86,83,81,73,84,86,83,91,82,88,78,60,80,65,77,57,63,81,83,81,78,,46,48,6,9,7,7,8,76+2,76+2,76+2,83+0,81+0,81+0,81+0,83+0,82+1,82+1,82+1,82+1,78+2,78+2,78+2,82+1,72+2,68+2,68+2,68+2,72+2,67+2,58+2,58+2,58+2,67+2
Portu,28,167,66,Spain,Real Sociedad,Spain Primera Division,83,83,26000000,50000,"RW, RM, CF",Right,1,4,3,High/High,Normal,Yes,54600000.0,"#Speedster, #Engine",RW,7.0,,2019-07-07,2024.0,,,90.0,79.0,81.0,82.0,59.0,79.0,,,,,,,"Finesse Shot, Speed Dribbler (AI)",80,82,77,83,72,84,80,64,79,81,90,90,81,78,81,82,75,89,73,75,82,55,80,82,53,74,,61,59,14,10,15,15,13,81+2,81+2,81+2,82+0,82+0,82+0,82+0,82+0,82+1,82+1,82+1,83+0,79+2,79+2,79+2,83+0,74+2,72+2,72+2,72+2,74+2,72+2,67+2,67+2,67+2,72+2
Jorginho,28,180,68,Italy,Chelsea,English Premier League,83,83,25500000,125000,"CM, CDM",Right,2,3,3,Medium/Medium,Lean,Yes,48500000.0,#Playmaker,LDM,5.0,,2018-07-16,2023.0,CM,8.0,55.0,65.0,84.0,80.0,72.0,73.0,,,,,,,Playmaker (AI),75,60,56,89,71,79,75,76,88,85,61,50,77,81,72,71,58,85,66,62,79,78,68,87,91,81,,80,71,14,7,13,14,8,69+2,69+2,69+2,74+0,74+0,74+0,74+0,74+0,78+2,78+2,78+2,77+2,83+0,83+0,83+0,77+2,76+2,80+2,80+2,80+2,76+2,74+2,72+2,72+2,72+2,74+2
Gerard Moreno,28,180,77,Spain,Villarreal CF,Spain Primera Division,83,83,27000000,56000,"ST, RM, CF",Left,1,4,3,High/Medium,Normal,Yes,56700000.0,#Clinical Finisher,RS,7.0,,2018-07-02,2023.0,ST,9.0,76.0,84.0,76.0,80.0,46.0,73.0,,,,,,,"Finesse Shot, Outside Foot Shot",78,88,81,79,80,81,75,62,73,82,75,77,74,86,68,81,76,76,75,80,61,42,85,76,75,77,,41,41,15,12,7,12,10,82+1,82+1,82+1,81+0,82+0,82+0,82+0,81+0,80+2,80+2,80+2,80+2,76+2,76+2,76+2,80+2,65+2,63+2,63+2,63+2,65+2,62+2,58+2,58+2,58+2,62+2
F. Kostić,27,184,82,Serbia,Eintracht Frankfurt,German 1. Bundesliga,83,83,27000000,45000,"LM, LWB",Left,2,2,3,High/High,Normal,Yes,45900000.0,#Engine,LM,10.0,,2019-05-17,2023.0,,,88.0,76.0,79.0,83.0,68.0,80.0,,,,,,,"Dives Into Tackles (AI), Flair, Speed Dribbler (AI), Outside Foot Shot",89,74,59,75,70,85,79,80,73,83,89,87,76,81,77,84,67,91,77,78,78,63,79,81,64,80,,72,68,13,14,12,12,13,78+2,78+2,78+2,82+0,81+0,81+0,81+0,82+0,80+2,80+2,80+2,82+1,78+2,78+2,78+2,82+1,78+2,75+2,75+2,75+2,78+2,76+2,71+2,71+2,71+2,76+2
D. Zapata,29,189,88,Colombia,Atalanta,Italian Serie A,83,83,26000000,87000,ST,Right,2,4,3,High/Medium,Normal,Yes,44200000.0,#Strength,ST,91.0,,2020-01-17,2023.0,SUB,7.0,75.0,81.0,59.0,78.0,37.0,83.0,,,,,,,"Power Header, Outside Foot Shot",44,88,83,75,77,79,48,62,47,81,72,78,67,82,60,86,79,72,93,64,72,20,86,59,70,82,,24,22,9,9,8,6,8,83+0,83+0,83+0,75+0,79+0,79+0,79+0,75+0,75+2,75+2,75+2,73+2,66+2,66+2,66+2,73+2,54+2,55+2,55+2,55+2,54+2,52+2,54+2,54+2,54+2,52+2
M. Dúbravka,31,190,80,Slovakia,Newcastle United,English Premier League,83,83,16500000,47000,GK,Right,1,2,1,Medium/Medium,Lean,Yes,31400000.0,,GK,1.0,,2018-06-09,2025.0,,,,,,,,,79.0,80.0,81.0,86.0,46.0,82.0,"GK Long Throw, Comes For Crosses",12,10,12,48,11,19,15,13,45,35,49,44,47,77,60,61,75,40,60,17,28,25,12,55,20,59,,15,14,79,80,81,82,86,32+2,32+2,32+2,32+0,35+0,35+0,35+0,32+0,38+2,38+2,38+2,35+2,40+2,40+2,40+2,35+2,32+2,36+2,36+2,36+2,32+2,30+2,30+2,30+2,30+2,30+2
M. Acuña,28,172,69,Argentina,Sevilla FC,Spain Primera Division,83,83,22000000,41000,"LB, LM",Left,2,3,4,High/High,Stocky,No,46200000.0,"#Dribbler, #Engine, #Crosser",SUB,19.0,,2020-09-14,2024.0,LCM,8.0,76.0,74.0,82.0,86.0,78.0,82.0,,,,,,,"Flair, Long Passer (AI), Outside Foot Shot, Technical Dribbler (AI)",87,66,57,81,68,87,88,75,78,87,77,75,82,83,90,82,63,90,80,81,84,78,81,82,76,87,,82,79,8,14,13,13,14,76+2,76+2,76+2,81+0,80+0,80+0,80+0,81+0,81+2,81+2,81+2,82+1,82+1,82+1,82+1,82+1,82+1,82+1,82+1,82+1,82+1,81+2,78+2,78+2,78+2,81+2
Reguilón,23,178,68,Spain,Tottenham Hotspur,English Premier League,82,89,27500000,85000,"LB, LM",Left,1,3,3,High/Medium,Normal,No,57800000.0,,SUB,3.0,,2020-09-19,2025.0,LB,3.0,85.0,55.0,73.0,78.0,78.0,70.0,,,,,,,Speed Dribbler (AI),79,52,75,79,49,78,70,43,67,81,82,87,76,79,72,62,66,80,65,56,73,79,74,68,42,72,,79,78,11,14,9,5,12,70+2,70+2,70+2,75+0,73+0,73+0,73+0,75+0,74+2,74+2,74+2,76+2,75+2,75+2,75+2,76+2,80+2,77+2,77+2,77+2,80+2,80+2,76+2,76+2,76+2,80+2
Fabián,24,189,70,Spain,Napoli,Italian Serie A,82,88,30000000,70000,CM,Left,1,4,4,Medium/Medium,Lean,Yes,57000000.0,,RCM,8.0,,2018-07-05,2023.0,SUB,12.0,63.0,78.0,78.0,83.0,74.0,68.0,,,,,,,"Finesse Shot, Long Shot Taker (AI), Outside Foot Shot",72,79,67,81,67,85,75,59,81,85,67,60,71,83,66,75,46,75,67,83,68,77,82,84,67,77,,78,75,16,11,7,13,13,77+2,77+2,77+2,79+0,80+0,80+0,80+0,79+0,81+2,81+2,81+2,79+2,82+2,82+2,82+2,79+2,76+2,78+2,78+2,78+2,76+2,75+2,73+2,73+2,73+2,75+2
L. Hernández,24,182,76,France,FC Bayern München,German 1. Bundesliga,82,87,26500000,70000,"CB, LB",Left,3,3,2,High/High,PLAYER_BODY_TYPE_271,Yes,45700000.0,,SUB,21.0,,2019-07-01,2024.0,LB,21.0,77.0,54.0,70.0,71.0,83.0,79.0,,,,,,,"Injury Prone, Power Header",78,53,82,79,46,65,59,39,63,79,77,77,70,85,68,62,85,75,77,51,86,83,62,63,42,76,,84,86,10,7,8,14,10,68+3,68+3,68+3,70+0,69+0,69+0,69+0,70+0,70+3,70+3,70+3,72+3,72+3,72+3,72+3,72+3,80+3,79+3,79+3,79+3,80+3,81+3,82+3,82+3,82+3,81+3
