short_name,age,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
Bruno Peres,30,178,72,Brazil,Roma,Italian Serie A,77,77,7000000,44000,"RB, RM",Right,2,2,3,High/Low,Lean,No,11900000.0,NoTag,RM,33.0,,2016-08-16,2021.0,,,88.0,64.0,69.0,77.0,70.0,71.0,Speed Dribbler (AI),74,53,60,73,71,76,69,59,66,78,84,92,81,64,81,80,68,85,67,70,65,70,70,63,70,70,,73,74,7,11,14,8,7,69+2,69+2,69+2,73+0,71+0,71+0,71+0,73+0,71+2,71+2,71+2,74+2,71+2,71+2,71+2,74+2,75+2,71+2,71+2,71+2,75+2,75+2,70+2,70+2,70+2,75+2
J. Hofmann,27,176,70,Germany,Borussia Mönchengladbach,German 1. Bundesliga,77,77,9500000,36000,"CAM, CM",Right,2,4,3,Medium/Medium,Lean,Yes,16200000.0,NoTag,SUB,23.0,,2016-01-01,2023.0,,,73.0,69.0,76.0,78.0,49.0,63.0,Team Player,78,69,40,77,62,77,69,71,72,79,75,72,77,76,77,68,61,85,60,68,43,65,83,78,68,73,,44,40,6,6,10,10,10,70+2,70+2,70+2,76+0,75+0,75+0,75+0,76+0,76+1,76+1,76+1,77+0,75+2,75+2,75+2,77+0,68+2,65+2,65+2,65+2,68+2,63+2,54+2,54+2,54+2,63+2
D. Laxalt,27,178,71,Uruguay,Milan,Italian Serie A,77,77,9500000,38000,LM,Left,2,3,4,High/High,Lean,No,16200000.0,Engine,SUB,93.0,,2018-08-17,2022.0,,,87.0,63.0,73.0,77.0,65.0,68.0,Speed Dribbler (AI),78,60,43,78,49,77,61,60,72,77,84,89,84,72,76,74,63,91,55,66,72,66,68,68,49,76,,70,68,10,12,10,9,8,68+2,68+2,68+2,75+0,73+0,73+0,73+0,75+0,74+2,74+2,74+2,76+1,74+2,74+2,74+2,76+1,75+2,72+2,72+2,72+2,75+2,73+2,65+2,65+2,65+2,73+2
Puertas,28,183,77,Spain,Granada CF,Spain Primera Division,77,77,9000000,28000,"RM, LM",Right,1,3,3,High/High,Normal,No,18900000.0,NoTag,RM,10.0,,2017-07-01,2024.0,,,78.0,76.0,72.0,75.0,44.0,74.0,"Long Shot Taker (AI), Speed Dribbler (AI)",77,78,73,75,65,75,62,45,68,77,77,79,77,71,71,80,73,77,75,71,70,41,82,72,65,60,,39,31,15,10,14,12,9,77+0,77+0,77+0,76+0,76+0,76+0,76+0,76+0,75+2,75+2,75+2,76+1,71+2,71+2,71+2,76+1,62+2,60+2,60+2,60+2,62+2,59+2,55+2,55+2,55+2,59+2
Thiago Mendes,28,177,80,Brazil,Olympique Lyonnais,French Ligue 1,77,77,9000000,58000,"CM, CDM",Right,1,3,3,Medium/High,Normal,No,17100000.0,NoTag,SUB,12.0,,2019-07-03,2023.0,,,72.0,67.0,75.0,77.0,74.0,75.0,"Long Shot Taker (AI), Outside Foot Shot",67,60,59,80,60,76,67,75,79,80,69,75,76,78,76,78,69,85,69,75,77,80,68,75,60,78,,74,72,14,9,12,13,8,70+2,70+2,70+2,73+0,74+0,74+0,74+0,73+0,75+2,75+2,75+2,75+2,77+0,77+0,77+0,75+2,76+1,78+,78+,78+,76+1,75+2,74+2,74+2,74+2,75+2
J. Seri,28,171,73,Ivory Coast,Fulham,English Premier League,77,77,9000000,91000,"CM, CDM",Right,2,4,3,Medium/Medium,Normal,Yes,17100000.0,NoTag,RES,24.0,,2018-07-12,2022.0,,,66.0,68.0,79.0,78.0,69.0,65.0,"Flair, Outside Foot Shot",72,65,60,83,47,75,80,81,81,82,75,59,85,73,80,74,64,74,59,72,68,69,70,78,67,81,,71,68,14,13,9,10,12,70+2,70+2,70+2,74+0,74+0,74+0,74+0,74+0,76+1,76+1,76+1,75+2,77+0,77+0,77+0,75+2,73+2,74+2,74+2,74+2,73+2,71+2,68+2,68+2,68+2,71+2
A. Marušić,27,185,85,Montenegro,Lazio,Italian Serie A,77,77,9500000,52000,RM,Right,1,4,3,High/Medium,Normal,No,16200000.0,NoTag,SUB,77.0,,2017-07-01,2022.0,,,87.0,71.0,72.0,76.0,72.0,75.0,Speed Dribbler (AI),78,66,72,75,68,78,72,48,68,77,85,88,64,76,67,79,80,75,77,77,71,73,73,72,58,72,,72,73,8,9,7,10,10,75+2,75+2,75+2,76+0,76+0,76+0,76+0,76+0,75+2,75+2,75+2,76+1,74+2,74+2,74+2,76+1,76+1,73+2,73+2,73+2,76+1,76+1,74+2,74+2,74+2,76+1
E. Camavinga,17,182,68,France,Stade Rennais FC,French Ligue 1,76,88,12000000,5000,CM,Left,1,3,4,High/High,Lean,No,25200000.0,NoTag,LCM,10.0,,2019-01-20,2022.0,SUB,6.0,71.0,62.0,74.0,77.0,75.0,75.0,Long Passer (AI),69,58,64,79,51,77,72,59,75,78,72,70,77,75,76,72,68,79,75,63,74,75,72,75,59,79,,78,76,12,6,8,12,12,70+2,70+2,70+2,73+0,73+0,73+0,73+0,73+0,74+2,74+2,74+2,74+2,76+2,76+2,76+2,74+2,75+2,76+2,76+2,76+2,75+2,75+2,74+2,74+2,74+2,75+2
N. Zaniolo,20,190,79,Italy,Roma,Italian Serie A,76,86,12500000,33000,"CAM, RM",Left,1,3,3,High/Medium,PLAYER_BODY_TYPE_359,Yes,23800000.0,NoTag,SUB,22.0,,2018-07-01,2024.0,,,76.0,73.0,72.0,77.0,62.0,75.0,"Injury Prone, Flair",64,74,60,78,60,78,65,60,70,78,75,76,71,78,78,79,59,74,76,72,80,57,77,76,60,70,,64,60,8,11,11,13,5,75+2,75+2,75+2,75+0,76+0,76+0,76+0,75+0,76+2,76+2,76+2,75+2,74+2,74+2,74+2,75+2,69+2,70+2,70+2,70+2,69+2,68+2,67+2,67+2,67+2,68+2
T. Adams,21,175,72,United States,RB Leipzig,German 1. Bundesliga,76,85,11000000,29000,"CDM, RWB",Right,1,3,3,High/High,Normal,Yes,20900000.0,Engine,SUB,14.0,,2019-01-01,2025.0,CDM,14.0,76.0,48.0,67.0,72.0,73.0,75.0,Injury Prone,52,48,65,77,33,70,52,42,72,71,78,74,79,77,85,51,83,86,68,46,76,74,65,71,51,75,,76,69,6,13,12,8,7,63+2,63+2,63+2,67+0,67+0,67+0,67+0,67+0,70+2,70+2,70+2,70+2,72+2,72+2,72+2,70+2,72+2,75+2,75+2,75+2,72+2,73+2,73+2,73+2,73+2,73+2
B. Soumaré,21,188,82,France,LOSC Lille,French Ligue 1,76,85,11000000,21000,"CDM, CM",Right,1,3,3,Medium/Medium,Lean,No,23100000.0,NoTag,SUB,24.0,,2017-07-12,2022.0,,,69.0,56.0,71.0,76.0,70.0,76.0,,59,51,60,77,53,76,64,53,76,78,69,69,71,75,69,64,69,77,77,58,76,74,66,75,52,75,,73,69,11,6,13,5,10,66+2,66+2,66+2,70+0,70+0,70+0,70+0,70+0,72+2,72+2,72+2,71+2,74+2,74+2,74+2,71+2,72+2,75+2,75+2,75+2,72+2,71+2,72+2,72+2,72+2,71+2
A. Maitland-Niles,22,177,70,England,Arsenal,English Premier League,76,84,10000000,52000,"RWB, RB, RM",Right,1,3,4,Medium/Medium,Lean,Yes,21000000.0,NoTag,LWB,15.0,,2014-10-24,2023.0,SUB,15.0,83.0,59.0,69.0,76.0,69.0,68.0,Speed Dribbler (AI),71,56,54,74,44,77,60,36,67,76,82,83,79,73,71,65,55,77,66,62,64,71,66,72,54,77,,73,69,15,9,7,10,13,67+2,67+2,67+2,73+0,71+0,71+0,71+0,73+0,72+2,72+2,72+2,73+2,72+2,72+2,72+2,73+2,74+2,71+2,71+2,71+2,74+2,73+2,68+2,68+2,68+2,73+2
R. Koch,23,191,86,Germany,Leeds United,English Premier League,76,84,10500000,64000,"CB, CDM",Right,1,3,2,Medium/Medium,Lean,Yes,23100000.0,NoTag,RCB,5.0,,2020-08-29,2024.0,SUB,17.0,71.0,38.0,59.0,63.0,77.0,75.0,Long Passer (AI),40,27,78,71,29,58,31,28,70,70,67,74,62,75,60,56,66,72,78,42,73,76,52,64,38,71,,78,76,9,6,15,8,6,58+2,58+2,58+2,58+0,60+0,60+0,60+0,58+0,62+2,62+2,62+2,61+2,67+2,67+2,67+2,61+2,69+2,74+2,74+2,74+2,69+2,71+2,76+2,76+2,76+2,71+2
Carlos Fernández,24,186,72,Spain,Sevilla FC,Spain Primera Division,76,83,11000000,24000,"ST, CAM",Left,1,3,3,Medium/Medium,Lean,No,25300000.0,NoTag,RES,24.0,,2013-07-01,2022.0,,,69.0,78.0,63.0,77.0,27.0,71.0,"Injury Prone, Finesse Shot",47,81,76,73,70,78,40,34,66,80,66,72,71,74,54,79,73,65,73,75,72,22,74,73,73,67,,21,22,12,13,8,9,12,76+2,76+2,76+2,73+0,76+0,76+0,76+0,73+0,75+2,75+2,75+2,71+2,68+2,68+2,68+2,71+2,50+2,52+2,52+2,52+2,50+2,47+2,46+2,46+2,46+2,47+2
M. Eggestein,23,181,75,Germany,SV Werder Bremen,German 1. Bundesliga,76,83,10500000,23000,"CM, CDM",Right,1,4,3,High/High,Normal,Yes,20000000.0,Engine,RCM,35.0,,2014-11-29,2023.0,,,71.0,66.0,73.0,77.0,71.0,78.0,"Solid Player, Dives Into Tackles (AI), Long Shot Taker (AI)",70,59,65,76,50,77,64,48,76,81,67,74,73,77,69,81,53,94,76,72,70,70,67,76,60,75,,73,70,15,10,13,15,8,71+2,71+2,71+2,73+0,73+0,73+0,73+0,73+0,74+2,74+2,74+2,75+2,76+2,76+2,76+2,75+2,75+2,75+2,75+2,75+2,75+2,74+2,72+2,72+2,72+2,74+2
Edu Expósito,23,179,67,Spain,SD Eibar,Spain Primera Division,76,83,10500000,23000,"CM, CDM, CAM",Right,1,5,4,Medium/Medium,Lean,Yes,24200000.0,NoTag,RDM,10.0,,2019-07-13,2024.0,,,54.0,70.0,71.0,74.0,66.0,57.0,Playmaker (AI),56,74,46,80,36,76,34,50,78,77,62,47,61,77,68,68,47,68,53,73,58,73,71,80,70,72,,71,52,9,15,8,6,8,68+2,68+2,68+2,71+0,73+0,73+0,73+0,71+0,75+2,75+2,75+2,71+2,76+2,76+2,76+2,71+2,67+2,72+2,72+2,72+2,67+2,65+2,63+2,63+2,63+2,65+2
L. Blas,22,180,70,France,FC Nantes,French Ligue 1,76,83,11000000,22000,"RM, CAM",Left,1,2,4,High/Medium,Normal,No,24200000.0,NoTag,CAM,10.0,,2019-09-02,2024.0,,,75.0,71.0,74.0,79.0,60.0,63.0,Technical Dribbler (AI),72,68,58,77,70,79,69,52,74,80,79,71,80,72,77,72,65,71,61,74,55,67,73,75,71,78,,65,61,12,9,14,14,15,71+2,71+2,71+2,75+0,75+0,75+0,75+0,75+0,76+2,76+2,76+2,75+2,75+2,75+2,75+2,75+2,70+2,68+2,68+2,68+2,70+2,68+2,62+2,62+2,62+2,68+2
X. Schlager,22,174,76,Austria,VfL Wolfsburg,German 1. Bundesliga,76,83,10500000,35000,"CM, CAM, CDM",Left,1,3,3,High/High,Normal,No,20000000.0,NoTag,RDM,24.0,,2019-07-01,2023.0,,,70.0,69.0,71.0,76.0,65.0,75.0,,59,64,44,76,58,75,70,60,72,77,77,64,78,79,77,77,60,85,71,75,77,78,74,76,56,72,,67,69,6,8,8,12,7,70+2,70+2,70+2,73+0,74+0,74+0,74+0,73+0,75+2,75+2,75+2,73+2,76+2,76+2,76+2,73+2,72+2,74+2,74+2,74+2,72+2,70+2,68+2,68+2,68+2,70+2
J. Brekalo,22,175,70,Croatia,VfL Wolfsburg,German 1. Bundesliga,76,83,11000000,35000,"LM, CF",Right,1,4,4,Medium/Medium,Lean,Yes,20900000.0,NoTag,LM,7.0,,2016-07-01,2023.0,,,77.0,69.0,70.0,83.0,36.0,52.0,,74,65,45,74,62,85,72,60,59,80,86,69,87,75,83,75,63,66,49,75,38,30,69,69,59,68,,28,37,9,7,5,6,14,69+2,69+2,69+2,76+0,74+0,74+0,74+0,76+0,75+2,75+2,75+2,75+2,68+2,68+2,68+2,75+2,59+2,53+2,53+2,53+2,59+2,55+2,44+2,44+2,44+2,55+2
K. Phillips,24,178,72,England,Leeds United,English Premier League,76,82,9500000,64000,"CDM, CB",Right,1,3,3,Medium/High,Normal,No,20900000.0,NoTag,CDM,23.0,,2014-07-01,2024.0,SUB,20.0,66.0,66.0,70.0,68.0,73.0,83.0,"Dives Into Tackles (AI), Long Passer (AI), Team Player",65,64,64,73,55,65,52,67,78,72,65,66,68,72,72,75,82,85,81,67,84,73,66,68,58,77,,77,72,8,8,8,12,14,68+2,68+2,68+2,68+0,68+0,68+0,68+0,68+0,69+2,69+2,69+2,69+2,72+2,72+2,72+2,69+2,72+2,75+2,75+2,75+2,72+2,72+2,74+2,74+2,74+2,72+2
M. Mittelstädt,23,180,71,Germany,Hertha BSC,German 1. Bundesliga,76,82,9500000,31000,"LB, LM",Left,1,3,3,High/Medium,Lean,Yes,18100000.0,NoTag,SUB,17.0,,2015-02-04,2023.0,,,78.0,63.0,69.0,76.0,73.0,65.0,Early Crosser,78,62,69,74,41,76,72,35,70,77,79,78,77,75,78,70,84,73,59,70,64,79,65,60,37,62,,75,67,13,10,7,13,13,69+2,69+2,69+2,73+0,71+0,71+0,71+0,73+0,71+2,71+2,71+2,73+2,72+2,72+2,72+2,73+2,75+2,72+2,72+2,72+2,75+2,74+2,71+2,71+2,71+2,74+2
G. Mancini,24,190,77,Italy,Roma,Italian Serie A,76,82,9500000,35000,"CB, CDM",Right,1,3,2,Medium/High,Lean,Yes,18100000.0,NoTag,RCB,23.0,,2020-07-01,2024.0,,,54.0,45.0,48.0,57.0,78.0,75.0,,34,48,79,59,40,51,38,34,42,70,54,54,34,77,57,51,71,73,75,34,76,78,32,51,47,66,,79,77,13,12,8,6,8,56+2,56+2,56+2,52+0,54+0,54+0,54+0,52+0,54+2,54+2,54+2,54+2,58+2,58+2,58+2,54+2,66+2,69+2,69+2,69+2,66+2,69+2,76+2,76+2,76+2,69+2
S. Ascacíbar,23,168,70,Argentina,Hertha BSC,German 1. Bundesliga,76,82,9500000,31000,"CDM, CM",Right,1,3,2,Medium/High,Normal,Yes,18100000.0,NoTag,LCM,18.0,,2020-01-01,2024.0,,,62.0,46.0,61.0,68.0,77.0,75.0,"Solid Player, Dives Into Tackles (AI)",51,36,47,70,47,65,47,41,67,66,74,52,80,74,88,53,83,89,61,64,90,83,31,60,48,65,,80,78,6,10,5,14,9,53+2,53+2,53+2,59+0,57+0,57+0,57+0,59+0,61+2,61+2,61+2,61+2,67+2,67+2,67+2,61+2,72+2,75+2,75+2,75+2,72+2,72+2,74+2,74+2,74+2,72+2
A. Ndiaye,23,173,63,Senegal,Getafe CF,Spain Primera Division,76,82,10500000,23000,LM,Right,1,4,4,High/Medium,Lean,No,24200000.0,Speedster,SUB,11.0,,2017-08-10,2022.0,,,92.0,71.0,67.0,80.0,46.0,68.0,"Flair, Speed Dribbler (AI), Technical Dribbler (AI)",66,75,65,69,72,83,69,65,61,76,93,92,82,68,74,76,78,65,65,60,75,41,74,67,49,75,,52,35,6,7,14,8,9,74+2,74+2,74+2,76+0,75+0,75+0,75+0,76+0,74+2,74+2,74+2,75+2,67+2,67+2,67+2,75+2,61+2,58+2,58+2,58+2,61+2,59+2,56+2,56+2,56+2,59+2
Luiz Araújo,24,175,70,Brazil,LOSC Lille,French Ligue 1,76,82,10500000,28000,"LM, RM",Left,1,2,3,High/Medium,Lean,No,22100000.0,Acrobat,SUB,11.0,,2017-07-01,2022.0,,,88.0,67.0,69.0,82.0,38.0,51.0,"Flair, Speed Dribbler (AI), Technical Dribbler (AI)",70,65,54,71,56,82,75,58,65,80,86,89,90,73,78,72,55,66,42,70,55,33,69,70,62,73,,41,44,6,12,13,9,9,70+2,70+2,70+2,76+0,74+0,74+0,74+0,76+0,75+2,75+2,75+2,75+2,68+2,68+2,68+2,75+2,61+2,55+2,55+2,55+2,61+2,58+2,47+2,47+2,47+2,58+2
D. Samassékou,24,176,68,Mali,TSG 1899 Hoffenheim,German 1. Bundesliga,76,82,9500000,25000,"CDM, CM",Right,1,3,3,Medium/Medium,Lean,No,18100000.0,NoTag,SUB,18.0,,2019-08-15,2024.0,,,60.0,49.0,67.0,72.0,75.0,74.0,,57,42,60,76,37,69,55,34,71,73,70,52,79,75,80,60,75,83,68,54,79,81,55,70,56,79,,75,73,5,11,11,14,8,60+2,60+2,60+2,64+0,64+0,64+0,64+0,64+0,67+2,67+2,67+2,67+2,71+2,71+2,71+2,67+2,72+2,75+2,75+2,75+2,72+2,72+2,73+2,73+2,73+2,72+2
J. McGinn,25,178,68,Scotland,Aston Villa,English Premier League,76,81,10000000,49000,CM,Left,1,4,3,High/High,Normal,Yes,19800000.0,Engine,RCM,7.0,,2018-08-08,2024.0,RCM,8.0,70.0,71.0,72.0,78.0,71.0,79.0,"Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",64,71,59,76,71,80,66,61,75,75,73,68,77,75,79,72,75,89,76,73,76,73,72,75,55,64,,75,69,9,13,12,10,12,72+2,72+2,72+2,74+0,74+0,74+0,74+0,74+0,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,74+2,75+2,75+2,75+2,74+2,72+2,72+2,72+2,72+2,72+2
N. Stark,25,190,88,Germany,Hertha BSC,German 1. Bundesliga,76,81,9000000,35000,"CB, CDM",Right,1,3,2,High/Medium,Normal,Yes,16000000.0,NoTag,SUB,5.0,,2015-08-24,2022.0,,,75.0,53.0,64.0,69.0,77.0,75.0,,52,50,80,74,48,70,43,35,67,69,78,73,68,73,62,63,66,70,79,55,74,75,52,70,39,68,,78,76,7,15,10,15,13,65+2,65+2,65+2,65+0,66+0,66+0,66+0,65+0,67+2,67+2,67+2,67+2,69+2,69+2,69+2,67+2,71+2,73+2,73+2,73+2,71+2,73+2,76+2,76+2,76+2,73+2
M. Dahoud,24,178,68,Germany,Borussia Dortmund,German 1. Bundesliga,76,81,10000000,41000,"CM, CDM",Right,2,4,4,High/High,Lean,Yes,17800000.0,Engine,SUB,8.0,,2017-07-01,2022.0,,,73.0,66.0,73.0,82.0,64.0,68.0,"Flair, Long Shot Taker (AI), Technical Dribbler (AI)",67,58,43,77,59,82,68,53,75,81,78,68,86,77,87,81,71,89,57,73,68,77,66,79,55,62,,58,52,14,7,9,12,11,68+2,68+2,68+2,74+0,74+0,74+0,74+0,74+0,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,72+2,73+2,73+2,73+2,72+2,69+2,64+2,64+2,64+2,69+2
Alex Berenguer,24,175,73,Spain,Torino,Italian Serie A,76,81,10500000,38000,"CF, ST, LW",Right,1,3,3,High/Medium,Normal,No,18600000.0,NoTag,CAM,21.0,,2017-07-17,2022.0,,,80.0,72.0,73.0,79.0,63.0,63.0,"Finesse Shot, Speed Dribbler (AI)",77,74,49,77,68,79,74,66,59,79,86,75,78,78,80,74,64,72,54,68,72,65,77,75,69,68,,64,66,14,16,8,6,13,72+2,72+2,72+2,77+0,76+0,76+0,76+0,77+0,76+2,76+2,76+2,77+2,73+2,73+2,73+2,77+2,73+2,69+2,69+2,69+2,73+2,71+2,65+2,65+2,65+2,71+2
L. Tousart,23,185,83,France,Hertha BSC,German 1. Bundesliga,76,81,9500000,31000,"CDM, CM",Right,2,3,2,Medium/High,Normal,Yes,16900000.0,NoTag,CDM,29.0,,2020-01-27,2025.0,,,59.0,54.0,64.0,61.0,79.0,83.0,Solid Player,56,42,76,77,43,58,36,45,68,65,62,57,59,69,66,79,82,85,82,58,81,82,57,58,48,66,,80,74,11,15,16,10,15,62+2,62+2,62+2,60+0,61+0,61+0,61+0,60+0,62+2,62+2,62+2,63+2,68+2,68+2,68+2,63+2,72+2,75+2,75+2,75+2,72+2,73+2,77+2,77+2,77+2,73+2
Matheus Pereira,24,175,74,Brazil,West Bromwich Albion,English Premier League,76,81,10500000,61000,"CAM, RW",Left,1,3,4,High/Medium,Lean,Yes,21800000.0,NoTag,CAM,12.0,,2020-07-27,2022.0,,,79.0,73.0,74.0,79.0,39.0,63.0,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",73,73,43,77,69,79,78,71,64,78,79,79,85,71,88,74,66,71,60,73,61,39,73,76,71,70,,37,29,15,12,15,15,9,71+2,71+2,71+2,76+0,75+0,75+0,75+0,76+0,76+2,76+2,76+2,75+2,70+2,70+2,70+2,75+2,60+2,58+2,58+2,58+2,60+2,56+2,49+2,49+2,49+2,56+2
Y. Yazıcı,23,185,74,Turkey,LOSC Lille,French Ligue 1,76,81,10500000,28000,"CAM, RM",Left,1,4,4,Medium/Medium,Normal,No,20700000.0,NoTag,SUB,12.0,,2019-08-06,2024.0,RM,11.0,66.0,74.0,77.0,78.0,47.0,71.0,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",77,71,68,79,72,80,82,74,74,80,63,69,72,70,69,81,54,76,71,76,71,40,73,77,60,75,,54,45,10,12,5,13,7,74+2,74+2,74+2,75+0,75+0,75+0,75+0,75+0,76+2,76+2,76+2,75+2,74+2,74+2,74+2,75+2,63+2,63+2,63+2,63+2,63+2,61+2,57+2,57+2,57+2,61+2
Lucas Paquetá,22,180,72,Brazil,Milan,Italian Serie A,76,81,10000000,30000,"CM, CAM",Left,1,2,4,High/Medium,Lean,No,17800000.0,NoTag,SUB,39.0,,2019-01-04,2023.0,,,75.0,74.0,75.0,81.0,59.0,75.0,"Dives Into Tackles (AI), Flair, Technical Dribbler (AI)",68,72,56,78,70,84,80,73,76,80,73,76,74,74,70,77,81,82,69,74,78,58,80,74,75,82,,64,56,14,9,12,11,11,74+2,74+2,74+2,77+0,77+0,77+0,77+0,77+0,77+2,77+2,77+2,77+2,76+2,76+2,76+2,77+2,70+2,70+2,70+2,70+2,70+2,67+2,65+2,65+2,65+2,67+2
S. Kalu,22,178,79,Nigeria,FC Girondins de Bordeaux,French Ligue 1,76,81,10500000,26000,"LM, RM, RW",Right,1,4,4,High/Medium,Normal,No,20700000.0,NoTag,SUB,10.0,,2018-08-06,2023.0,,,87.0,66.0,70.0,78.0,34.0,56.0,"Speed Dribbler (AI), Technical Dribbler (AI)",76,69,62,70,49,81,72,71,61,75,92,83,80,69,79,66,88,70,46,64,57,31,70,72,52,74,,32,27,11,13,6,10,12,70+2,70+2,70+2,75+0,73+0,73+0,73+0,75+0,73+2,73+2,73+2,75+2,66+2,66+2,66+2,75+2,58+2,52+2,52+2,52+2,58+2,54+2,45+2,45+2,45+2,54+2
K. Malong,24,180,79,Cameroon,1. FSV Mainz 05,German 1. Bundesliga,76,81,9500000,21000,"CDM, CM",Right,1,4,3,Medium/Medium,Stocky,No,17800000.0,NoTag,RDM,14.0,,2018-07-06,2022.0,RCM,15.0,82.0,69.0,70.0,74.0,70.0,82.0,"Long Passer (AI), Long Shot Taker (AI)",69,63,54,76,52,76,62,40,74,74,76,86,66,74,76,85,76,77,85,74,84,74,66,68,57,67,,71,73,11,13,5,8,9,71+2,71+2,71+2,72+0,73+0,73+0,73+0,72+0,72+2,72+2,72+2,73+2,73+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,73+2,73+2,73+2,73+2,73+2
Luis Milla,25,175,67,Spain,Granada CF,Spain Primera Division,76,81,9500000,22000,CDM,Right,1,3,3,High/High,Lean,No,20700000.0,Engine,SUB,5.0,,2020-08-04,2024.0,,,77.0,60.0,75.0,73.0,70.0,72.0,"Finesse Shot, Playmaker (AI)",70,51,48,78,51,70,72,74,75,77,79,75,71,76,79,73,71,88,67,66,67,72,68,75,73,80,,73,70,12,13,8,10,10,66+2,66+2,66+2,71+0,71+0,71+0,71+0,71+0,72+2,72+2,72+2,73+2,75+2,75+2,75+2,73+2,75+2,75+2,75+2,75+2,75+2,74+2,70+2,70+2,70+2,74+2
S. Fofana,25,184,77,Ivory Coast,Racing Club de Lens,French Ligue 1,76,80,10000000,36000,"CM, CDM",Right,2,4,3,High/High,Lean,No,20800000.0,NoTag,SUB,8.0,,2020-08-18,2024.0,RCM,4.0,76.0,71.0,70.0,76.0,70.0,76.0,"Long Shot Taker (AI), Speed Dribbler (AI)",62,66,58,78,50,78,62,42,74,76,75,77,73,76,69,81,61,78,76,79,76,74,76,72,56,72,,75,68,9,8,9,11,10,73+2,73+2,73+2,74+0,75+0,75+0,75+0,74+0,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,73+2,75+2,75+2,75+2,73+2,72+2,72+2,72+2,72+2,72+2
B. Henrichs,23,183,79,Germany,RB Leipzig,German 1. Bundesliga,76,80,9000000,34000,"RB, LB, RM",Right,2,4,3,High/Medium,Normal,Yes,,NoTag,SUB,39.0,AS Monaco,,2021.0,,,75.0,53.0,71.0,75.0,73.0,69.0,,74,50,63,74,53,76,73,49,66,75,74,75,75,73,69,62,66,74,68,46,68,74,62,69,59,75,,74,74,8,9,13,12,14,64+2,64+2,64+2,70+0,68+0,68+0,68+0,70+0,69+2,69+2,69+2,71+2,70+2,70+2,70+2,71+2,74+2,72+2,72+2,72+2,74+2,74+2,72+2,72+2,72+2,74+2
William,25,171,67,Brazil,VfL Wolfsburg,German 1. Bundesliga,76,80,8500000,35000,"RB, RM, LB",Right,1,3,3,High/Low,Normal,Yes,15100000.0,NoTag,SUB,2.0,,2017-07-01,2022.0,,,73.0,50.0,69.0,77.0,72.0,69.0,"Dives Into Tackles (AI), Long Shot Taker (AI)",77,32,50,75,28,77,64,66,64,77,78,69,78,75,84,76,68,74,63,65,76,85,70,54,42,64,,73,68,7,10,8,7,7,63+2,63+2,63+2,69+0,68+0,68+0,68+0,69+0,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,75+2,73+2,73+2,73+2,75+2,74+2,71+2,71+2,71+2,74+2
D. Kamada,23,180,72,Japan,Eintracht Frankfurt,German 1. Bundesliga,76,80,10000000,23000,"CAM, CF, ST",Right,1,4,3,High/Medium,Lean,Yes,17800000.0,NoTag,CAM,15.0,,2017-07-17,2023.0,,,75.0,70.0,73.0,82.0,36.0,61.0,"Playmaker (AI), Technical Dribbler (AI)",74,71,53,76,60,84,73,68,65,80,83,69,81,72,80,74,68,70,59,65,55,28,75,74,71,80,,42,34,6,10,11,6,11,72+2,72+2,72+2,76+0,76+0,76+0,76+0,76+0,76+2,76+2,76+2,76+2,70+2,70+2,70+2,76+2,59+2,56+2,56+2,56+2,59+2,55+2,47+2,47+2,47+2,55+2
